"","age","male","friend_cnt","avg_friend_age","avg_friend_male","friend_country_cnt","subscriber_friend_cnt","songsListened","lovedTracks","posts","playlists","shouts","delta1_friend_cnt","delta1_avg_friend_male","delta1_friend_country_cnt","delta1_subscriber_friend_cnt","delta1_songsListened","delta1_lovedTracks","delta1_posts","delta1_playlists","delta1_shouts","adopter","tenure","good_country","delta1_good_country","delta2_friend_cnt","delta2_avg_friend_male","delta2_friend_country_cnt","delta2_subscriber_friend_cnt","delta2_songsListened","delta2_lovedTracks","delta2_posts","delta2_playlists","delta2_shouts","delta2_good_country","delta1_avg_friend_age_2","subfriendcount_treat","tenure_treat","age_treat"
"164",16,0,1,16,0,1,0,474,2,0,1,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"165",30,0,2,19,1,1,0,1144,146,0,1,1,0,0,0,0,21,22,0,0,0,0,35,0,0,1,0,1,0,0,0,0,0,NA,0,NA,0,0,0
"166",24,1,9,22,0.875,2,0,1426,0,0,1,14,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"170",16,0,8,22.2,0.5,4,0,5243,0,0,1,4,0,0,0,0,1250,0,0,0,0,0,53,0,0,0,0,0,0,2077,0,0,0,NA,0,NA,0,1,0
"171",25,0,1,29,1,1,0,110,6,0,1,1,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"173",50,1,1,NA,1,1,0,2863,12,0,1,1,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"175",23,0,11,28.2,0.545454546,4,0,3540,4,3,1,53,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"176",21,1,49,23.17073171,0.681818182,9,0,45919,51,927,1,791,3,-0.008658009,0,0,2714,0,0,0,5,0,67,0,0,-1,0.015458937,0,1,796,6,0,0,NA,0,NA,0,0,0
"177",19,0,2,22,1,1,0,4063,31,0,0,2,0,0,0,0,31,2,0,0,0,0,9,1,0,0,0,0,0,259,0,0,0,NA,0,NA,0,0,0
"183",26,1,1,24,1,1,0,13122,0,0,1,3,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"193",21,1,19,20.66666667,0.631578947,1,0,26757,91,0,1,8,1,-0.035087719,0,0,1302,9,0,0,0,0,38,1,0,0,0,0,0,154,0,0,0,NA,0,NA,0,0,0
"195",35,1,32,22.32,0.964285714,3,2,14509,6,0,0,7,0,-0.001231527,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,NA,0,NA,1,1,0
"196",17,1,0,NA,NA,0,0,2024,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,17,0,0,0,NA,0,0,1,0,0,0,NA,0,NA,0,0,0
"206",21,1,10,23.2,0.6,1,0,18983,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"214",24,1,13,23.6,0.416666667,4,0,35602,115,0,1,8,0,0,0,0,2567,0,0,0,0,0,61,1,0,0,0,0,0,2511,0,0,0,NA,0,NA,0,0,1
"220",25,1,22,22.57142857,0.3,12,2,0,0,0,2,3,1,0,1,1,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,NA,0,NA,1,0,1
"225",24,1,5,24.33333333,1,2,0,18187,5,0,1,2,0,0,0,0,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"227",52,1,2,18,1,1,0,9554,466,0,1,5,0,0,0,0,2304,103,0,0,0,0,24,1,0,0,0,0,0,3544,119,0,0,NA,0,NA,0,0,0
"230",22,0,8,22,0.6,2,0,8211,8,0,0,1,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,793,0,0,0,NA,0,NA,0,0,1
"231",22,1,0,NA,NA,0,0,2,0,0,0,2,0,NA,0,0,0,0,0,0,0,0,32,1,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,1
"233",21,1,5,20.25,0,1,0,28250,67,0,1,7,0,0,0,0,1501,0,0,0,0,0,58,1,0,0,0,0,0,340,0,0,0,NA,0,NA,0,1,0
"248",24,1,2,24,1,1,0,18831,13,0,0,1,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"251",26,1,5,NA,1,1,0,1195,77,0,3,2,0,0,0,0,100,3,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"273",36,1,40,25.48,0.294117647,18,2,34774,590,0,0,9,3,0.003795066,2,0,1489,6,0,0,0,0,39,0,0,0,0,0,0,1452,5,0,0,NA,0,NA,1,0,0
"276",27,1,8,24.75,0.75,3,0,55700,56,1,0,6,0,0,0,0,3709,0,0,0,0,0,38,0,0,0,0,0,0,1691,0,0,0,NA,0,NA,0,0,1
"278",21,1,22,21.4,0.761904762,1,0,20759,3,2,1,17,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"279",30,1,3,27.5,1,1,0,1141,17,0,1,1,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,146,0,0,0,NA,0,NA,0,1,0
"286",34,1,6,30,0.8,3,1,3287,109,14,0,5,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,NA,0,NA,1,0,0
"287",20,1,14,20.09090909,0.583333333,9,0,88536,1,0,14,24,0,0,0,0,856,0,0,0,0,0,40,1,0,1,0,0,0,606,0,0,0,NA,0,NA,0,1,0
"294",23,0,5,26.25,0.8,2,0,4402,26,0,0,6,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,559,6,0,0,NA,0,NA,0,1,1
"297",21,1,2,32,1,1,0,10765,1,0,1,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"298",20,1,27,19.68181818,0.541666667,2,0,44724,79,0,0,2,0,0,0,0,28,0,0,0,0,0,41,0,0,0,-0.019927536,0,0,192,2,0,0,NA,0,NA,0,1,0
"299",17,1,1,24,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"301",25,1,19,24.44444444,0.75,11,2,10070,14,2,0,8,0,0,-1,1,0,0,0,0,0,0,38,0,0,0,0,0,0,149,5,0,0,NA,0,NA,1,0,1
"303",20,1,5,23,1,3,0,23604,31,0,0,3,0,0,0,0,1201,1,0,0,0,0,17,0,0,0,0,0,0,5004,9,0,0,NA,0,NA,0,0,0
"306",38,1,7,39.33333333,1,2,0,75967,298,6,1,18,0,0,0,0,2890,0,0,0,1,0,68,1,0,1,0,1,0,3625,0,0,0,NA,0,NA,0,0,0
"309",21,0,7,22.28571429,0.857142857,1,0,346,0,0,1,11,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"310",30,1,12,27.5,0.6,1,0,14658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"311",29,0,11,28.5,0.818181818,2,0,5710,2,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,1,0,0,0,0,0,NA,0,NA,0,0,0
"312",41,1,2,43,0,2,0,9281,6,0,0,1,0,0,0,0,0,0,0,0,0,0,70,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"313",46,1,4,21.66666667,1,2,0,3853,19,7,1,1,0,0,0,0,16,1,0,0,0,0,50,1,0,0,0,0,0,116,1,0,0,NA,0,NA,0,1,0
"315",13,1,1,14,0,1,0,17,28,0,1,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0
"316",17,1,79,19.93846154,0.756756757,28,1,12341,2131,146,0,332,47,-0.00990991,11,1,5874,1063,16,0,305,0,7,0,0,4,-0.002139037,0,0,2669,0,0,0,NA,0,NA,1,0,0
"317",21,1,4,19,1,4,0,334,8,0,1,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"319",35,1,4,22,0,3,0,5907,110,0,0,4,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"320",21,1,12,23.88888889,0.181818182,3,0,7517,0,0,1,89,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"324",26,1,32,25.47619048,0.52173913,2,0,94230,23,20,2,53,1,0.02173913,0,0,4253,0,0,0,1,0,69,1,0,0,0,0,0,2202,0,2,0,NA,0,NA,0,0,1
"325",19,1,24,17.63636364,0.681818182,5,0,32828,373,0,0,14,3,-0.095959596,0,0,6733,6,0,0,0,0,21,0,0,0,0,0,0,13598,3,0,0,NA,0,NA,0,0,0
"326",37,1,4,41.33333333,1,3,0,178,0,1,0,5,0,0,0,0,0,0,0,0,0,0,57,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"333",23,0,6,25,1,3,0,1557,0,0,1,14,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"335",24,1,109,23.74666667,0.684210526,13,3,41012,32,9,1,143,4,-0.025466893,-1,0,1400,1,0,0,0,0,68,1,0,0,-0.010526316,1,1,966,1,0,0,NA,0,NA,1,0,1
"336",20,1,1,NA,0,1,0,433,9,0,1,1,0,0,0,0,376,0,0,0,0,0,31,1,0,0,0,0,0,397,0,0,0,NA,0,NA,0,0,0
"340",30,1,8,32.5,1,4,0,3636,20,0,1,1,0,0,0,0,0,0,0,0,0,0,102,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"341",21,1,12,20.5,0.545454546,4,0,62848,46,0,0,1,0,0,0,0,3387,2,0,0,0,0,62,0,0,0,0,0,0,2687,1,0,0,NA,0,NA,0,0,0
"353",24,0,38,25.69444444,0.810810811,9,1,15549,2,1,0,84,0,0,1,1,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,NA,0,NA,1,1,1
"356",21,1,2,21,1,1,0,3781,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"359",16,1,6,18.66666667,0.5,1,0,14615,69,0,0,9,0,0,0,0,725,10,0,0,0,0,22,1,0,2,0.166666667,1,0,2325,0,0,0,NA,0,NA,0,0,0
"369",28,1,2,25,1,1,0,13238,1,1,1,1,0,0,0,0,0,0,0,0,0,0,66,1,0,-1,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"370",20,1,15,22.2,0.615384615,5,0,6378,52,0,0,0,0,0,0,0,74,0,0,0,0,0,26,1,0,-1,0.060606061,0,0,0,0,0,0,NA,0,NA,0,0,0
"373",25,1,6,25.83333333,0.666666667,2,0,11764,0,0,0,5,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"374",25,1,2,24,0.5,2,0,32070,30,0,1,5,0,0,0,0,98,0,0,0,0,0,60,1,0,0,0,0,0,120,0,0,0,NA,0,NA,0,1,1
"376",24,1,56,25.25531915,0.5,13,2,28446,41,356,1,165,1,-0.02,1,0,0,0,0,0,1,0,70,1,0,3,-0.016133229,-1,0,3409,0,6,0,NA,0,NA,1,0,1
"377",24,1,59,21.625,0.725490196,6,2,52098,159,17,1,150,2,-0.014509804,0,0,4702,23,0,0,4,0,54,1,0,2,0.024109015,1,0,6673,1,0,0,NA,0,NA,1,1,1
"379",20,1,1,28,1,1,0,93,10,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"386",42,1,0,NA,NA,0,0,17152,0,0,0,3,0,NA,0,0,466,0,0,0,0,0,40,1,0,0,NA,0,0,342,0,0,0,NA,0,NA,0,1,0
"391",15,1,3,31.66666667,0.333333333,2,1,64,2,0,0,2,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,1,0,0,0,0,NA,0,NA,1,1,0
"392",17,1,6,20,1,2,0,5131,4,0,3,2,2,0,0,0,2151,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"395",21,1,12,20.90909091,0.545454546,1,1,5870,2,0,1,27,0,0,0,1,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,NA,0,NA,1,1,0
"398",24,1,4,22.33333333,0.75,1,0,9366,28,3,1,2,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"401",37,1,8,33,0.833333333,3,0,560,0,0,0,8,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"404",18,0,34,19.7037037,0.428571429,2,1,68259,148,0,0,197,2,0.005494506,0,1,3274,14,0,0,2,0,55,1,0,-2,-0.004761905,0,0,2972,9,0,0,NA,0,NA,1,1,0
"406",20,1,16,21.45454546,0.5,4,1,83923,30,0,0,13,0,0,0,0,3715,0,0,0,1,0,40,1,0,0,-0.045454545,0,0,11560,1,0,0,NA,0,NA,1,1,0
"407",33,1,3,32.5,1,1,0,129247,0,0,0,0,0,0,0,0,52,0,0,0,0,0,70,1,0,0,0,0,0,10942,0,0,0,NA,0,NA,0,0,0
"409",26,1,18,22.86666667,0.4375,3,1,683,0,2,0,1,0,0,0,0,0,0,0,0,0,0,89,1,0,0,0,0,0,0,0,0,0,NA,0,NA,1,0,1
"413",25,1,1,29,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"425",27,0,1,28,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"428",23,1,2,NA,1,1,1,2431,113,0,0,2,0,0,0,0,61,2,0,0,0,0,25,1,0,0,0,0,0,31,0,0,0,NA,0,NA,1,0,1
"430",28,1,4,29.5,0.333333333,1,0,12439,0,1,0,27,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"434",28,0,1,30,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"437",29,0,3,31,1,1,0,151,3,0,0,2,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"438",21,0,6,21.25,0.25,2,0,1056,10,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0.15,0,0,2790,2,0,0,NA,0,NA,0,0,0
"442",22,0,19,22.30769231,0.666666667,1,0,32545,1,0,1,0,0,0,0,0,0,0,0,0,0,0,59,0,0,-1,-0.023809524,0,0,0,0,0,0,NA,0,NA,0,1,1
"443",19,0,19,20.375,0.588235294,2,0,12189,120,6,0,19,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"444",19,1,2,18,0,1,0,1820,79,0,0,4,0,0,0,0,0,0,0,0,0,0,35,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0
"446",27,1,5,23.5,0.6,2,0,76950,348,3,0,7,0,0,0,0,2940,0,0,0,0,0,65,0,0,0,0,0,0,2939,1,0,0,NA,0,NA,0,0,1
"448",20,0,7,21,0.285714286,1,0,4361,0,0,0,10,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"450",21,1,1,NA,NA,0,0,461,19,0,1,1,0,NA,0,0,0,0,0,0,0,0,58,1,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,0
"451",18,0,4,29.33333333,0.666666667,1,0,2494,171,0,0,17,0,0,0,0,449,21,0,0,0,0,25,0,0,0,0,0,0,219,28,0,0,NA,0,NA,0,0,0
"454",31,1,44,25.1875,0.4375,7,0,18362,7,6,1,16,2,0.018145161,0,0,667,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"455",28,1,0,NA,NA,0,0,309,0,0,0,1,0,NA,0,0,38,0,0,0,0,0,40,0,0,0,NA,0,0,2687,11,0,0,NA,0,NA,0,1,1
"457",26,0,1,NA,1,1,0,537,619,0,0,1,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
